Cabinet,Dept,Program,Expense Category,FY22 Actual Expense,FY23 Actual Expense,FY24 Appropriation,FY25 Budget
Mayor's Cabinet,Mayor's Office,Mayor's Administration,Personnel Services,1624903.69,2374448.36,1921403.81,2217748.39
Mayor's Cabinet,Mayor's Office,Mayor's Administration,Contractual Services,284597.9,383743.11,219633.42,234628
Mayor's Cabinet,Mayor's Office,Mayor's Administration,Supplies & Materials,28541.55,74491.63,55573.65,60000
Mayor's Cabinet,Mayor's Office,Mayor's Administration,Current Charges & Obligations,19410.3,25350.83,16734.29,20000
Mayor's Cabinet,Mayor's Office,Mayor's Administration,Equipment,16164.36,44132.61,36115,53000
Mayor's Cabinet,Mayor's Office,Mayor's Executive,Personnel Services,583859.32,374100.89,387298.7,386249.77
Mayor's Cabinet,Mayor's Office,Mayor's Executive,Contractual Services,#Missing,936,#Missing,1404
Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Personnel Services,768993.95,2598928.91,1464593.36,1226631.64
Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Contractual Services,253549.07,16559.28,174000,113458
Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Supplies & Materials,#Missing,#Missing,3000,6000
Mayor's Cabinet,Mayor's Office,Mayor's Policy & Planning,Current Charges & Obligations,1685.9,1003.59,2000,3000
Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Personnel Services,438308.77,571746,669210.36,697709.9
Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Contractual Services,583.44,22149.88,100000,87106
Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Supplies & Materials,164.98,2817.3,6361,6500
Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Current Charges & Obligations,1190.52,3475.96,4500,5000
Mayor's Cabinet,Mayor's Office,New Urban Mechanics,Equipment,22128,55.47,22000,22500
Mayor's Cabinet,Mayor's Office,Mayor's Communications,Personnel Services,762365.75,1095489.35,1349000.7,1573762.78
Mayor's Cabinet,Mayor's Office,Mayor's Communications,Contractual Services,123.21,4977.95,70500,86054
Mayor's Cabinet,Mayor's Office,Mayor's Communications,Supplies & Materials,#Missing,55.26,3000,3000
Mayor's Cabinet,Mayor's Office,Mayor's Communications,Current Charges & Obligations,980,191.9,1000,4000
Mayor's Cabinet,Mayor's Office,Mayor's Communications,Equipment,#Missing,86.05,22500,37717.6
Mayor's Cabinet,Election Division,Election Division,Personnel Services,3297454.25,3300884.34,4033419.74,3698618.04
Mayor's Cabinet,Election Division,Election Division,Contractual Services,841673.6,818503.53,1136484.81,760775.2
Mayor's Cabinet,Election Division,Election Division,Supplies & Materials,815739.75,521024.93,1385303,862434.99
Mayor's Cabinet,Election Division,Election Division,Current Charges & Obligations,70739.98,123766.79,203924,165200
Mayor's Cabinet,Election Division,Election Division,Equipment,353922.49,372058.55,225999.24,88703
Mayor's Cabinet,Listing Board,Listing Board,Personnel Services,289834.32,331965.42,461393.96,487292.17
Mayor's Cabinet,Listing Board,Listing Board,Contractual Services,36514.14,13720.4,60404,70404
Mayor's Cabinet,Listing Board,Listing Board,Supplies & Materials,245386.94,255694.81,285700,303300
Mayor's Cabinet,Intergovernmental Relations,IGR,Personnel Services,677057.29,800998.59,919295.96,982069.04
Mayor's Cabinet,Intergovernmental Relations,IGR,Contractual Services,181763.77,25910.05,41161,161161
Mayor's Cabinet,Intergovernmental Relations,IGR,Supplies & Materials,4063.22,2429.04,6200,6200
Mayor's Cabinet,Intergovernmental Relations,IGR,Current Charges & Obligations,192661.08,157840.31,158209,161976
Mayor's Cabinet,Intergovernmental Relations,IGR,Equipment,#Missing,10398.28,#Missing,#Missing
Mayor's Cabinet,Intergovernmental Relations,Grants Administration,Personnel Services,113796.23,105189.78,114856.55,0
Mayor's Cabinet,Intergovernmental Relations,Grants Administration,Contractual Services,198.21,301.79,300,0
Mayor's Cabinet,Intergovernmental Relations,Grants Administration,Current Charges & Obligations,300,300,330,0
Mayor's Cabinet,Law Department,Law Operations,Personnel Services,1720068.17,1339388.77,1730875.2,1774155.91
Mayor's Cabinet,Law Department,Law Operations,Contractual Services,318348.31,540744.6,284989.2,212085
Mayor's Cabinet,Law Department,Law Operations,Supplies & Materials,11120.92,12023.33,18650,13650
Mayor's Cabinet,Law Department,Law Operations,Current Charges & Obligations,49673.26,86066.89,105159,134500
Mayor's Cabinet,Law Department,Law Operations,Equipment,660,10415,0,0
Mayor's Cabinet,Law Department,Litigation,Personnel Services,728780.69,1154598.72,1493350.64,1614337.72
Mayor's Cabinet,Law Department,Litigation,Contractual Services,2348433.15,2436853.9,1832339,1867458
Mayor's Cabinet,Law Department,Litigation,Supplies & Materials,1210.44,49.97,0,2500
Mayor's Cabinet,Law Department,Litigation,Current Charges & Obligations,7387.21,19454.98,23270,10000
Mayor's Cabinet,Law Department,Litigation,Equipment,2535,0,0,0
Mayor's Cabinet,Law Department,Government Services,Personnel Services,2974614.11,4102142.35,4975153.76,5379317.57
Mayor's Cabinet,Law Department,Government Services,Contractual Services,36453.06,29442.26,87754.2,118558
Mayor's Cabinet,Law Department,Government Services,Supplies & Materials,902.55,271.96,0,2500
Mayor's Cabinet,Law Department,Government Services,Current Charges & Obligations,23801.57,14817.35,26100,20000
Mayor's Cabinet,Law Department,Government Services,Equipment,3171,0,0,0
Equity & Inclusion Cabinet,Office of Equity,Equity,Personnel Services,379820.05,759366,1581279.74,2211129.85
Equity & Inclusion Cabinet,Office of Equity,Equity,Contractual Services,15435.08,85230.52,938010,1043378.21
Equity & Inclusion Cabinet,Office of Equity,Equity,Supplies & Materials,1462.83,19355.86,32100,29500
Equity & Inclusion Cabinet,Office of Equity,Equity,Current Charges & Obligations,2179.88,3730.43,4533,5322.14
Equity & Inclusion Cabinet,Office of Equity,Equity,Equipment,16636.2,13102.23,1249,1249
Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Personnel Services,1661595.3,#Missing,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Contractual Services,1187521.92,#Missing,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Supplies & Materials,9694.27,#Missing,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Current Charges & Obligations,4031.87,#Missing,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Equity,Equity & Inclusion,Equipment,11692.09,#Missing,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Diversity,Diversity,Personnel Services,193721.87,#Missing,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Diversity,Diversity,Contractual Services,40655.58,#Missing,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Diversity,Diversity,Current Charges & Obligations,18695.83,#Missing,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Diversity,Diversity,Equipment,1147,#Missing,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Personnel Services,263230.42,51453.17,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Contractual Services,1473716.13,775144.96,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Supplies & Materials,3509.73,66640.3,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Resiliency & Racial Equity,MORRE,Equipment,#Missing,2449.84,#Missing,#Missing
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Personnel Services,248986.69,752006.98,1072099.19,1160872.99
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Contractual Services,463090.02,762054.45,880000,926162
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Supplies & Materials,2481.05,19672.27,13143,13143
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Current Charges & Obligations,#Missing,5308.92,5000,12375
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Equipment,2025.36,209104.88,76945,56945
Equity & Inclusion Cabinet,Office of Language & Communications Access,LCA,Other Expenses,#Missing,#Missing,#Missing,0
Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Personnel Services,359467.99,199127.38,527894.77,368379.16
Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Contractual Services,1845.86,75779.11,87300,87300
Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Supplies & Materials,242.9,#Missing,8000,8000
Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Current Charges & Obligations,3198.59,#Missing,1200,1200
Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Equipment,5495,#Missing,#Missing,#Missing
Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Personnel Services,806227.45,810066.67,1272870.17,1289608.69
Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Contractual Services,858347.52,2093477.77,2023217,2373217
Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Supplies & Materials,9273.48,21686.32,11400,11400
Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Current Charges & Obligations,4486.53,26993.43,15324,15324
Equity & Inclusion Cabinet,Office for Immigrant Advancement,Immigrant Advancement,Equipment,13553.29,1999.81,#Missing,#Missing
Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Personnel Services,309104.93,295718.08,495311.11,516152.25
Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Contractual Services,432183.65,47657.18,185973,225973
Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Supplies & Materials,1394.5,11275.75,800,610
Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Current Charges & Obligations,3024.11,36.04,#Missing,190
Equity & Inclusion Cabinet,Women's Advancement,Women's Commission Program,Equipment,3501.06,#Missing,#Missing,#Missing
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Personnel Services,#Missing,380890.85,1055105.34,968898.97
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Contractual Services,#Missing,987742.8,726550,1101550
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Supplies & Materials,#Missing,20024.37,10500,10500
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Current Charges & Obligations,#Missing,250,2800,2800
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Equipment,#Missing,8169.09,9500,9500
Equity & Inclusion Cabinet,Black Male Advancement,BMA,Other Expenses,#Missing,#Missing,#Missing,0
Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Personnel Services,266874.1,373917.62,306980.58,338703.29
Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Contractual Services,168529.03,21661.25,166240,418297
Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Supplies & Materials,6572.16,1929.4,11822,5000
Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Current Charges & Obligations,42021.83,6049.6,235,5000
Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Equipment,16760,#Missing,#Missing,#Missing
Equity & Inclusion Cabinet,Fair Housing & Equity,Human Rights History,Contractual Services,143.43,1394.1,#Missing,#Missing
Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Personnel Services,#Missing,291338.02,481539.12,536202.92
Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Contractual Services,#Missing,180884.92,228250,223250
Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Supplies & Materials,#Missing,#Missing,16000,16000
Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Current Charges & Obligations,#Missing,#Missing,2750,2750
Equity & Inclusion Cabinet,LGBTQ+ Advancement,LGBTQ+ Admin,Equipment,#Missing,4942.5,4000,4000
Equity & Inclusion Cabinet,Commission For Persons W/Disabilities,Disabilities,Personnel Services,483631.8,585951.01,742847.18,814683.15
Equity & Inclusion Cabinet,Commission For Persons W/Disabilities,Disabilities,Contractual Services,15904.75,39327.83,63069,63860
Equity & Inclusion Cabinet,Commission For Persons W/Disabilities,Disabilities,Supplies & Materials,9232.49,7236.14,7490,7360
Equity & Inclusion Cabinet,Commission For Persons W/Disabilities,Disabilities,Current Charges & Obligations,#Missing,40.89,#Missing,7500
Equity & Inclusion Cabinet,Commission For Persons W/Disabilities,Disabilities,Equipment,2974,29.44,0,#Missing
OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Personnel Services,482414.94,762043.41,1216543.92,1244661.48
OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Contractual Services,65382.21,71366.56,84610,84775
OPAT Cabinet,Office of Police Accountability & Transparency,OPAT Commission,Supplies & Materials,8838.29,13165.1,13000,8500
