Variable,Year,City,Budget,Lag1,Lag2,Variable_Education Spending,Variable_Electric Utility Spending,Variable_Envir. & Housing Spending,Variable_Gas Utility Spending,Variable_General Expenditures,Variable_Govt. Admin. Spending,Variable_Health & Welfare Spending,Variable_Interest on General Debt,Variable_Miscellaneous Spending,Variable_Public Safety Spending,Variable_Total Expenditures,Variable_Transit Utility Spending,Variable_Transportation Spending,Variable_Water Utility Spending,Predicted
Education Spending,2000.0,MA: Boston,2136.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Education Spending,2001.0,MA: Boston,2182.0,2136.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2218.5716130408514
Education Spending,2002.0,MA: Boston,2161.0,2182.0,2136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2187.1801236346073
Education Spending,2003.0,MA: Boston,2212.0,2161.0,2182.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2187.1801236346073
Education Spending,2004.0,MA: Boston,2131.0,2212.0,2161.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2187.1801236346073
Education Spending,2005.0,MA: Boston,2132.0,2131.0,2212.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2187.1801236346073
Education Spending,2006.0,MA: Boston,2255.0,2132.0,2131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2192.4186836512467
Education Spending,2007.0,MA: Boston,2250.0,2255.0,2132.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2238.290653658168
Education Spending,2008.0,MA: Boston,2299.0,2250.0,2255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2243.538165440362
Education Spending,2009.0,MA: Boston,2272.0,2299.0,2250.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2296.722609630182
Education Spending,2010.0,MA: Boston,2217.0,2272.0,2299.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2181.4230148194215
Education Spending,2011.0,MA: Boston,2086.0,2217.0,2272.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2135.5510448125
Education Spending,2012.0,MA: Boston,2140.0,2086.0,2217.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2145.9667808973586
Education Spending,2013.0,MA: Boston,2026.0,2140.0,2086.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2145.9667808973586
Education Spending,2014.0,MA: Boston,2204.0,2026.0,2140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2168.5369065922914
Education Spending,2015.0,MA: Boston,2298.0,2204.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2184.246221300694
Education Spending,2016.0,MA: Boston,2292.0,2298.0,2204.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.8496690807956
Education Spending,2017.0,MA: Boston,2340.0,2292.0,2298.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.8496690807956
Education Spending,2018.0,MA: Boston,2410.0,2340.0,2292.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2371.8338986169706
Education Spending,2019.0,MA: Boston,2369.0,2410.0,2340.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2425.382247640722
Education Spending,2020.0,MA: Boston,2526.0,2369.0,2410.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2522.293335315965
Education Spending,2021.0,MA: Boston,2617.0,2526.0,2369.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2622.523953631157
Education Spending,2022.0,MA: Boston,,2617.0,2526.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2662.8455126239733
Education Spending,2023.0,MA: Boston,,2662.8455126239733,2617.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2662.8455126239733
Education Spending,2024.0,MA: Boston,,2662.8455126239733,2662.8455126239733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2662.8455126239733
Education Spending,2025.0,MA: Boston,,2662.8455126239733,2662.8455126239733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2662.8455126239733
Electric Utility Spending,2000.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Utility Spending,2001.0,MA: Boston,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
